object_id,redshift,distance_modulus,distance_modulus_err
2011fe,0.00122,28.9987,1.51645
2011fe,0.00122,29.0559,1.51747
2012cg,0.00256,30.7233,0.782372
2012cg,0.00256,30.7449,0.799068
1994DRichmond,0.00299,30.7757,0.881212
1981B,0.0035,30.7946,0.614535
2013aa,0.00478,30.4604,0.594683
2013aa,0.00478,30.5528,0.580251
2017cbv,0.00478,30.4013,0.578445
2017cbv,0.00478,30.5107,0.578546
2001el,0.00357,31.5011,0.591006
2011by,0.00369,31.7933,0.55272
1998aq,0.00369,31.4967,0.545492
1990N,0.00462,31.6969,0.550993
2021pit,0.00366,30.9999,0.566505
2005df,0.00435,31.3933,0.476404
2005df_ANU,0.00435,31.3779,0.479276
2013dy,0.00293,31.499,0.514259
2013dy,0.00293,31.5611,0.530838
2012ht,0.00465,31.9309,0.442017
2012ht,0.00465,32.033,0.420403
1980N,0.0046,31.2476,0.558603
2012fr,0.0046,31.1331,0.446882
2007on,0.0046,31.6525,0.564724
2012fr,0.0046,31.2234,0.410577
1992A,0.0046,31.34,0.562589
2007on,0.0046,31.7635,0.574442
2015F,0.00515,31.4473,0.448264
2015F,0.00515,31.539,0.407028
2011B,0.00458,31.6512,0.514401
2018aoz,0.00701,31.7282,0.501431
2016coj,0.00489,31.9117,0.469628
SN2016coj,0.00489,31.8985,0.483668
2007sr,0.0066,31.6799,0.375913
2007sr,0.0066,31.6292,0.385756
2007gi,0.00505,31.7403,0.491367
1994ae,0.0054,32.1822,0.339643
2015bp,0.00603,32.4685,0.487055
2018gv,0.00596,31.9404,0.344335
2018gv,0.00596,32.0666,0.343707
2018gv,0.00596,31.9102,0.350249
1981D,0.00551,30.9079,0.524992
2006dd,0.00551,31.1857,0.452235
2007af,0.00635,32.0667,0.32593
2007af,0.00635,32.0023,0.36156
2007af,0.00635,32.0999,0.322811
2007af,0.00635,32.0337,0.339166
2007le,0.00552,32.0754,0.533991
2007le,0.00552,32.0843,0.537335
2007le,0.00552,32.0203,0.538159
1998dm,0.00567,32.8333,0.562902
2014bv,0.00548,32.4001,0.482567
2019np,0.0055,32.4608,0.318474
2019np,0.0055,32.4338,0.32229
1997br,0.00801,31.7321,0.531169
2011iv,0.00594,31.2217,0.420706
1995al,0.00592,32.3593,0.359446
1996X,0.00812,31.9733,0.415464
2017erp,0.00727,32.1951,0.34053
2017erp,0.00727,32.1729,0.371125
2017erp,0.00727,32.2048,0.34795
1992G,0.00611,32.4405,0.439634
2005cf,0.00703,32.3193,0.325586
2005cf,0.00703,32.3327,0.348317
2005cf,0.00703,32.3221,0.322655
2002fk,0.00668,32.4423,0.300309
2002fk,0.00668,32.4642,0.300269
2003du,0.00664,32.7943,0.289134
2003du,0.00664,32.7423,0.294759
2003du,0.00664,32.7685,0.292411
2008Q,0.00722,32.3312,0.373843
2008Q,0.00722,32.2998,0.396652
2003kf,0.00769,32.6418,0.362719
1998dh,0.00769,32.7164,0.317031
1998dh,0.00769,32.6151,0.317457
2012hr,0.00788,32.7092,0.367554
2009ig,0.00801,32.3711,0.371926
2009ig,0.00801,32.7434,0.280148
2009ig,0.00801,32.6707,0.286975
1996Z,0.00867,32.4455,0.490787
1995D,0.0078,32.484,0.342662
1991M,0.00758,33.2138,0.462834
2013gh,0.00775,32.521,0.465611
2013gh,0.00775,32.6922,0.484865
2001bg,0.00796,32.6928,0.359218
2005W,0.00861,32.852,0.318032
ASASSN-15so,0.00773,32.7527,0.26758
PSNJ0717457,0.00812,32.7223,0.383433
2005am,0.00841,32.3744,0.338325
2005am,0.00841,32.3945,0.331296
2005am,0.00841,32.335,0.337879
1997bp,0.00931,32.4198,0.425219
2019ein,0.00837,32.8616,0.327035
2002er,0.00853,32.799,0.368859
2002er,0.00853,32.7498,0.409525
2006D,0.00966,32.8914,0.286425
2006D,0.00966,32.8973,0.282867
2006D,0.00966,32.9159,0.285505
2013cs,0.01029,32.3353,0.401367
1999cp,0.00998,33.0399,0.268981
1999cp,0.00998,33.2135,0.253629
2002cr,0.00998,33.2309,0.251906
2002cr,0.00998,33.2469,0.254885
2002dj,0.01051,32.901,0.309548
2002dj,0.01051,32.8654,0.334488
1998es,0.00957,32.8029,0.35789
1998es,0.00957,32.9165,0.372831
PTF10icb,0.009,33.4753,0.372879
2009Y,0.0105,32.6457,0.409088
2009Y,0.0105,32.7458,0.360296
2009Y,0.0105,32.9015,0.334006
2013E,0.01042,32.7794,0.348547
1999ac,0.00979,32.9182,0.365223
1999ac,0.00979,32.9674,0.341878
2009an,0.00921,33.3378,0.306294
2009an,0.00921,33.2253,0.299086
2006bh,0.01042,33.2788,0.247952
2004S,0.0098,33.1236,0.317227
2021hpr,0.00958,33.0869,0.343916
2002dp,0.01049,33.3806,0.309009
2002dp,0.01049,33.2931,0.27457
1997do,0.01048,33.1081,0.364668
1997bq,0.00993,33.0683,0.324016
2008fv_comb,0.00993,33.1809,0.377969
ASASSN-16jf,0.0104,33.5709,0.314858
iPTF13ebh,0.01238,33.7337,0.342487
iPTF13ebh,0.01238,33.6369,0.29522
2010ko,0.01096,33.8347,0.353909
2013ex,0.01096,33.4336,0.283424
2013ex,0.01096,33.4947,0.325172
2009ab,0.01189,33.5833,0.281169
2011ao,0.01168,33.4974,0.301502
2001cz,0.01275,33.8783,0.346381
2009kk,0.01244,33.7023,0.266666
2010Y,0.01142,33.7403,0.254135
2008R,0.0126,33.8286,0.265115
2002ha,0.0122,33.708,0.24076
2002ha,0.0122,33.7246,0.250097
2009kq,0.01247,33.5874,0.26006
2009kq,0.01247,33.5178,0.26619
2001bt,0.01407,33.7492,0.416658
2001ep,0.01306,33.6365,0.287379
2001ep,0.01306,33.5028,0.331124
2013gy,0.01309,33.7355,0.239783
2013gy,0.01309,33.7607,0.28722
AT2017cfd,0.01222,33.5752,0.292564
2017cfd,0.01222,33.5673,0.284786
1999dq,0.01334,33.52,0.273536
1999dq,0.01334,33.4717,0.261601
2007hj,0.01288,33.9682,0.303693
2007hj,0.01288,33.9846,0.299399
2007hj,0.01288,33.9247,0.304606
2008hv,0.0136,33.797,0.277855
2008hv,0.0136,33.7683,0.232778
2008hv,0.0136,33.772,0.235755
1997E,0.01314,33.7649,0.288791
2007cv,0.01361,33.6741,0.345367
1992al,0.01434,33.6968,0.233531
1999dk,0.014,33.8053,0.288803
1999dk,0.014,33.6651,0.296207
ASASSN-16dn,0.01406,33.8206,0.250873
ASASSN-16la,0.01424,33.8444,0.265489
2005kc,0.01386,34.0187,0.307194
2005kc,0.01386,34.0249,0.352338
2007ca,0.01509,34.3366,0.370715
2007ca,0.01509,34.1781,0.396908
2007ca,0.01509,34.252,0.397235
2006N,0.01416,33.9078,0.240515
2006td,0.01504,34.1727,0.365029
2013gq,0.01457,33.7526,0.2163
2004eo,0.0142,33.8826,0.249316
2003gt,0.01422,33.9253,0.243928
2005bo,0.01503,33.7553,0.390506
2005bo,0.01503,33.7189,0.39282
2001fe,0.01448,33.8916,0.240694
2013fa,0.01429,33.7894,0.397352
2000dm,0.01472,34.0109,0.270222
PSNJ2043531,0.01449,34.1902,0.372674
2011df,0.01402,33.8524,0.277558
2005el,0.01483,33.974,0.229564
2005el,0.01483,33.9261,0.231708
2001cn,0.01509,33.8877,0.294985
2005de,0.01495,34.1793,0.26677
SN2017jl,0.01529,33.7706,0.30219
ASASSN-16ad,0.01522,34.0334,0.344305
ATLAS16cxr,0.01518,34.3426,0.372888
iPTF16auf,0.01566,34.0744,0.314862
2008bc,0.01572,34.0331,0.226465
2011im,0.01493,34.2732,0.34036
1999ej,0.01534,34.2581,0.272528
1999ej,0.01534,34.2112,0.258071
2001en,0.01534,33.9994,0.28632
2001en,0.01534,33.8852,0.313932
2001V,0.01592,33.7902,0.290577
2001V,0.01592,33.8072,0.290395
2008ec,0.01506,34.1732,0.264363
2008ec,0.01506,34.1302,0.33431
2008eo,0.01539,34.3317,0.278713
2009nq,0.01527,34.1657,0.28688
2005al,0.01629,33.9986,0.219937
2013hn,0.01629,34.0697,0.290382
2001bf,0.01556,33.9926,0.239289
2001bf,0.01556,33.9004,0.218994
ASASSN-15oh,0.01579,34.3916,0.270341
1994S,0.01619,34.0287,0.224824
1999aa,0.01579,34.1663,0.242893
1999aa,0.01579,34.1323,0.209471
2002cs,0.01538,34.0329,0.272511
iPTF14bdn,0.01636,34.1062,0.281582
2007ss,0.01619,34.4137,0.34637
2010kg,0.01595,33.9999,0.334729
2013fw,0.0157,34.1608,0.218117
2013Q,0.01612,33.9726,0.41528
iPTF13dge,0.01581,34.2793,0.261916
2007fs,0.01633,34.3408,0.198023
SN2016gfr,0.0163,33.8985,0.245383
ASASSN-16ip,0.01632,34.1679,0.246475
2007A,0.01646,34.4649,0.358327
2007A,0.01646,34.5341,0.341619
PSNJ0107203,0.01601,33.9673,0.284408
1998ef,0.0161,33.841,0.289311
1998ef,0.0161,33.8975,0.264562
ASASSN-15ti,0.01671,34.4894,0.310314
ASASSN-15od,0.01678,34.3409,0.228387
1996bv,0.01673,34.0755,0.297815
1997Y,0.01661,34.1973,0.214463
2001da,0.01658,34.022,0.308995
2001da,0.01658,34.2003,0.325329
ASASSN-15kx,0.01697,34.6084,0.219814
2000dk,0.01649,34.1436,0.28269
2000dk,0.01649,34.1517,0.257136
2007fb,0.0168,34.4009,0.221698
2007fb,0.0168,34.5101,0.231239
2006ef,0.01694,34.361,0.220285
2008C,0.01709,34.31,0.263557
2008C,0.01709,34.2669,0.262425
2004fz,0.01646,33.7799,0.330633
2006ax,0.01774,34.3228,0.200241
2006ax,0.01774,34.3133,0.19782
1998V,0.01718,34.1465,0.231417
2013gs,0.01748,34.2221,0.320412
2008L,0.01734,34.3364,0.210115
2008L,0.01734,34.2464,0.213428
2009le,0.01739,34.2939,0.246602
2009le,0.01739,34.2418,0.22287
2000dr,0.01765,34.2975,0.318912
2007as,0.01791,34.2661,0.234211
1992bo,0.01805,34.6078,0.20147
2010ai,0.01918,34.9792,0.21848
ASASSN-17co,0.01791,34.2005,0.280568
PS15coh,0.01796,34.4393,0.226901
2009gf,0.01925,34.492,0.255362
2009gf,0.01925,34.576,0.296243
2016ffh,0.01851,34.6171,0.238984
ATLAS16cpu,0.01851,34.5716,0.239989
2000cu,0.01902,34.6066,0.277471
2011fs,0.01822,34.5466,0.215514
2011fs,0.01822,34.4866,0.321023
ASASSN-16cs,0.01839,34.4286,0.281407
2006kf,0.01955,34.7747,0.195403
2006kf,0.01955,34.8085,0.195531
2008hs,0.01835,34.757,0.466611
2008hs,0.01835,34.7394,0.433516
2007au,0.01992,34.6865,0.406241
2016W,0.01855,34.3648,0.295725
2002kf,0.01948,34.6854,0.204275
1992bc,0.01976,34.5121,0.199486
2009ds,0.02033,34.5072,0.233893
2009ds,0.02033,34.702,0.19246
2006ej,0.01926,34.5995,0.188309
2006ej,0.01926,34.5012,0.295566
2006ej,0.01926,34.576,0.189903
2006ej,0.01926,34.6482,0.187832
2002jy,0.0187,34.9988,0.187715
2016hpw,0.02019,34.8165,0.241825
ATLAS16dqf,0.02019,34.5749,0.375822
2005ki,0.02066,34.5709,0.187708
2005ki,0.02066,34.5656,0.177716
2005ki,0.02066,34.4931,0.19075
ASASSN-15lg,0.02121,34.6552,0.214591
2001dl,0.01983,35.1263,0.375783
PSNJ1602512,0.02039,34.556,0.333904
2007st,0.02061,34.4168,0.217156
ASASSN-17bs,0.02014,34.5647,0.249505
2010A,0.02079,34.4863,0.330445
2003W,0.02087,34.674,0.230899
2003W,0.02087,34.6349,0.254511
2001br,0.02046,34.8118,0.300223
ASASSN-16lc,0.02001,34.6956,0.216494
AT2016eoa,0.01993,34.6693,0.230687
ASASSN-16lg,0.02093,34.375,0.203089
2004bw,0.02207,34.8194,0.196425
2008Z,0.02146,35.118,0.310686
2008Z,0.02146,35.2056,0.304103
2007bc,0.02187,34.7561,0.180584
2007bc,0.02187,34.7344,0.177177
2007bc,0.02187,34.7419,0.187753
SN2016ajf,0.01978,34.7627,0.339971
2009dc,0.02179,34.3468,0.19901
2018fop,0.02017,34.5899,0.199177
ASASSN-15uv,0.02104,34.6114,0.393324
ASASSN-18da,0.02157,34.7709,0.195863
2006et,0.0214,34.7583,0.283448
2006et,0.0214,34.7742,0.253646
1999dg,0.02263,34.8589,0.246447
2001cp,0.02245,34.9654,0.216973
1995ak,0.02193,34.6739,0.247785
2009na,0.02209,34.7477,0.199095
ASASSN-18iu,0.02202,34.8847,0.186029
ATLAS16dpb,0.02238,35.0481,0.288632
SNF20080514-002,0.02292,35.0136,0.216159
2006dm,0.02161,34.8059,0.18018
2006dm,0.02161,34.8234,0.25811
2008ia,0.02257,34.9245,0.169837
2004bg,0.02214,34.7727,0.199004
2004bg,0.02214,34.8704,0.204479
2002cu,0.02217,34.7814,0.224663
2006cp,0.02334,34.7714,0.302654
2006cp,0.02334,34.8603,0.24312
2000fa,0.02181,34.759,0.288719
2000fa,0.02181,34.7997,0.25527
ASASSN-16bn,0.02253,35.0392,0.214526
ASASSN-17aj,0.02253,34.7306,0.243141
AT2017cfb,0.02382,34.8438,0.220547
2006bq,0.02226,34.8693,0.2033
2002ef,0.02224,34.6849,0.358325
2010cr,0.02368,35.2685,0.304874
ASASSN-15il,0.02374,34.8584,0.20127
2000cn,0.0226,34.9992,0.267367
2000cn,0.0226,34.9712,0.237284
2017hoq,0.0235,34.985,0.19074
2009jb,0.02324,34.7666,0.340338
2014ai,0.02317,35.0225,0.271221
ASASSN-14fa,0.02262,34.883,0.27497
2004at,0.02287,34.9168,0.178524
PS15cku,0.02222,35.0537,0.229702
2007ci,0.02295,34.6478,0.266962
2007ci,0.02295,34.4301,0.279423
2009al,0.02328,34.9851,0.282579
2009al,0.02328,35.0081,0.221692
2009al,0.02328,34.9783,0.225403
2009cz,0.02315,34.8582,0.260273
2009cz,0.02315,34.8582,0.170636
ASASSN-15nr,0.02309,34.8331,0.263771
2004bk,0.02405,34.8391,0.21588
2018enc,0.0245,34.9998,0.217718
2007qe,0.0228,35.0406,0.206572
2007qe,0.0228,34.9509,0.259128
ATLAS17bas,0.02331,34.5715,0.261746
ASASSN-15tz,0.0222,34.9543,0.274039
2010ao,0.02422,34.943,0.2098
2006sr,0.02307,34.9949,0.180801
ASASSN-15jt,0.02396,34.889,0.403697
ASASSN-16em,0.02296,34.994,0.277383
2000ca,0.02454,34.8993,0.190331
1998eg,0.02358,35.1018,0.195014
PS1-14xw,0.02436,35.1049,0.31033
2010gp,0.02436,34.4711,0.398476
2000bh,0.02421,34.8782,0.224067
2007F,0.0242,34.9421,0.208286
2007F,0.0242,35.084,0.183555
1993H,0.0245,35.1803,0.232251
AT2016bln,0.02425,35.0771,0.195416
2006ac,0.02395,34.9871,0.184147
2006ac,0.02395,34.953,0.198064
ASASSN-15sf,0.02349,35.2317,0.235205
2005bg,0.02414,35.0102,0.201948
2009D,0.02476,35.008,0.162015
2009D,0.02476,35.0746,0.209952
2009D,0.02476,34.9493,0.170871
PS16ccn,0.02395,35.1784,0.189112
2008bf,0.02451,35.1061,0.235556
2008bf,0.02451,35.0521,0.231261
2008bf,0.02451,34.8898,0.233972
1994M,0.02426,34.9528,0.213795
2004br,0.02426,34.807,0.18246
ASASSN-16hz,0.02406,34.8112,0.317595
2003he,0.02404,35.0862,0.240547
2001cj,0.02491,35.1973,0.228493
Gaia16agf,0.02553,35.2152,0.268527
2007cq,0.02481,34.8369,0.288042
2007cq,0.02481,34.8482,0.181918
2003it,0.02413,35.079,0.205996
2007cq,0.02481,35.009,0.176889
AT2017cfc,0.02499,35.0276,0.190198
2011dn,0.02443,34.4583,0.333265
2007sw,0.025,34.9117,0.306484
2012bh,0.025,35.1989,0.238281
370356,0.025,35.2277,0.204374
2002he,0.02469,35.1139,0.15531
2002he,0.02469,35.1145,0.174825
2018jjd,0.02547,34.9842,0.185284
2002bf,0.02494,34.9441,0.240723
2002bf,0.02494,34.9063,0.269066
ASASSN-16bq,0.02582,35.1882,0.176701
PS15ahs,0.02522,35.1974,0.185937
PSNJ0153424,0.02474,35.1828,0.233724
SN2017hn,0.02492,35.0621,0.190177
1992ag,0.02592,34.7664,0.344692
SN2017ms,0.02538,35.1181,0.200181
PSNJ2352371,0.02525,35.4014,0.200491
2005M,0.02584,35.2931,0.179545
2005M,0.02584,35.1081,0.198242
2005M,0.02584,34.835,0.348314
SN2017mf,0.02618,35.3111,0.17873
2005mc,0.02597,35.2855,0.288909
2005mc,0.02597,35.3429,0.323231
ASASSN-15uu,0.02579,35.0223,0.372346
2005ms,0.02595,35.308,0.179587
1999gp,0.02603,35.2688,0.183373
1999gp,0.02603,35.2892,0.205883
ASASSN-15mf,0.02691,35.1184,0.181369
ASASSN-17at,0.02643,35.2513,0.18676
SNF20071021-000,0.0264,35.3224,0.216057
2013fn,0.02724,35.2892,0.298907
2002eb,0.02633,35.2673,0.172357
2007co,0.02655,35.3437,0.230789
2007co,0.02655,35.1118,0.346591
2007co,0.02655,35.227,0.261645
1992P,0.02643,35.313,0.220137
2007su,0.0266,35.3042,0.352852
ASASSN-15fa,0.02721,35.5236,0.225337
2005na,0.02717,35.113,0.172724
2005na,0.02717,35.1538,0.186856
2005na,0.02717,35.1117,0.170295
ASASSN-16av,0.02676,35.3467,0.289875
2006gj,0.0277,35.7258,0.321699
2010ii,0.02704,35.1306,0.184771
2006ev,0.02759,35.6739,0.216353
PSNJ0252467,0.02748,35.3613,0.190628
2009aa,0.02827,35.3174,0.173415
2011hb,0.02775,35.2874,0.292934
2005eq,0.02831,35.5061,0.163093
2005eq,0.02831,35.5563,0.160218
2005eq,0.02831,35.558,0.160985
2003U,0.02794,35.2665,0.177545
2009ad,0.02834,35.372,0.160301
2009ad,0.02834,35.3421,0.156527
2002el,0.02778,35.1049,0.181734
2008ar,0.02732,35.4368,0.180322
2008ar,0.02732,35.2913,0.178243
2008ar,0.02732,35.359,0.180243
AT2017ns,0.02802,35.1963,0.366604
2004gs,0.02829,35.5996,0.235009
SN2017ckx,0.02779,35.6596,0.251383
2007is,0.02953,35.3449,0.211378
2013bs,0.02859,35.4105,0.201911
1998ab,0.02806,34.9487,0.227749
1993ah,0.02828,35.2763,0.655117
2006qo,0.02871,35.4779,0.275376
ASASSN-15la,0.02845,35.0558,0.218663
1996C,0.02875,35.5152,0.250819
PS16cvc,0.02844,35.6948,0.183345
ASASSN-15fs,0.0285,35.2391,0.185823
2003ch,0.02895,35.6024,0.169987
ASASSN-16ay,0.02895,35.6222,0.299966
PSNJ0859349,0.02874,35.472,0.225755
ASASSN-16fs,0.0299,35.2761,0.180915
LSQ12gdj,0.02886,35.0939,0.272694
2000cw,0.02896,35.6079,0.224233
2002de,0.0305,35.3638,0.283742
ASASSN-16aj,0.03053,35.4654,0.177866
ASASSN-16br,0.029,35.5064,0.190895
AT2017zd,0.03048,35.2781,0.194122
ASASSN-16hh,0.02935,35.5015,0.190369
ATLAS17ajn,0.02988,35.5116,0.190788
Gaia16bba,0.02934,35.4354,0.185335
1997dg,0.02962,35.861,0.192522
2004ef,0.02978,35.5195,0.196088
2004ef,0.02978,35.4838,0.199296
2004ef,0.02978,35.4761,0.233488
ASASSN-15nq,0.03025,35.5185,0.166012
AT2017lm,0.03002,35.5542,0.216273
ASASSN-16fo,0.02994,35.4803,0.173804
ASASSN-16es,0.02973,35.5345,0.258248
AT2016cyt,0.02965,35.3586,0.164518
2013fy,0.03099,35.3522,0.343157
ASASSN-15uw,0.03004,35.6084,0.212671
ASASSN-16hr,0.0298,35.4648,0.278746
PS15cwx,0.03007,35.4164,0.184841
1990O,0.03093,35.4926,0.166476
2001ba,0.03136,35.6481,0.206672
2009eu,0.03072,35.9224,0.399302
2009fv,0.03072,35.406,0.332119
2009fv,0.03072,35.3374,0.375292
SNF20080909-030,0.03013,35.565,0.183722
2008gg,0.03107,35.67,0.236835
2008gg,0.03107,35.5409,0.184896
1999cc,0.03132,35.5877,0.169094
AT2017wb,0.03093,35.5304,0.283582
MASTEROTJ08,0.03156,35.6675,0.174531
2007bd,0.03141,35.4957,0.175954
2007bd,0.03141,35.5793,0.14868
2007bd,0.03141,35.4841,0.153803
2006bt,0.03241,35.772,0.224228
2006bt,0.03241,35.7428,0.226764
2006bt,0.03241,35.7867,0.216659
2006bw,0.03075,35.6231,0.320886
ASASSN-15hg,0.03107,35.6461,0.196214
ATLAS17axb,0.03264,35.5602,0.185563
2010gn,0.03123,35.9119,0.273901
CSS160428,0.03081,35.7017,0.164289
2000dn,0.03081,35.707,0.22057
2006en,0.03081,35.6474,0.19424
2006en,0.03081,35.6847,0.188076
2008bq,0.03279,35.7279,0.17805
ASASSN-16oz,0.03207,35.4592,0.276064
2006az,0.03158,35.4896,0.148675
010026,0.03174,35.6746,0.20211
AT2017po,0.03201,35.576,0.196814
2007ai,0.03212,35.8562,0.258808
2007ai,0.03212,35.8577,0.294619
2007ux,0.03183,35.8808,0.19004
2007ux,0.03183,35.6656,0.274525
ASASSN-15pr,0.03189,35.9082,0.198168
2008gl,0.03246,35.6638,0.156049
2008gl,0.03246,35.6366,0.169859
2008gl,0.03246,35.6431,0.148421
SN2016hpx,0.0337,35.6329,0.204026
SN2017cii,0.03337,35.8381,0.178659
2006te,0.03212,35.7248,0.15355
2006os,0.03212,35.7992,0.326022
2004as,0.0325,35.7324,0.22019
2004as,0.0325,35.8907,0.225741
ASASSN-16bc,0.03314,35.6164,0.168015
2008gp,0.03245,35.6643,0.150947
2008gp,0.03245,35.7268,0.162633
2010ag,0.03336,35.8159,0.198961
2005iq,0.03292,35.8647,0.150987
2005iq,0.03292,35.8516,0.143619
PS15bsq,0.03309,35.7797,0.159699
2004L,0.03344,35.829,0.273673
2003gn,0.03316,36.0229,0.243018
2003cq,0.03323,35.8276,0.259126
2006S,0.0331,35.9089,0.177213
2011dl,0.03432,35.7587,0.312966
2006gr,0.03352,35.9188,0.207416
2006gr,0.03352,35.9378,0.211316
ASASSN-16dw,0.03565,35.7837,0.217075
2007ba,0.03533,35.825,0.340606
ATLAS17ajs,0.0337,35.9757,0.358083
1996bl,0.03481,35.7348,0.155656
2003kc,0.0341,35.8566,0.205773
2003iv,0.03351,35.9118,0.165632
ASASSN-15jl,0.03492,35.8816,0.169326
1992bg,0.03574,35.8937,0.211664
2005eu,0.03369,35.8012,0.48333
2005eu,0.03369,35.8038,0.482057
2008at,0.03497,35.8349,0.334212
ASASSN-15tg,0.03445,35.861,0.1686
2007hu,0.03518,35.9905,0.374822
PTSS-16efw,0.03542,36.234,0.188455
2016fbk,0.03495,35.9591,0.225173
AT2016fbk,0.03495,36.1545,0.230318
1994T,0.03564,35.9325,0.204232
ASASSN-15mi,0.03501,35.5515,0.204326
